"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",1,1,0,0,0,0
"2",2,1,1,0,0,0
"3",2,0,1,0,1,0
"4",2,0,0,1,1,0
"5",2,1,0,0,1,0
"6",3,1,0,0,1,1
"7",5,1,1,1,1,1
"8",3,0,0,1,1,1
"9",3,1,0,0,1,1
"10",3,0,0,1,1,1
"11",4,1,1,1,1,0
"12",4,1,1,0,1,1
"13",4,1,1,0,1,1
"14",2,0,1,1,0,0
"15",3,1,1,1,0,0
"16",2,0,1,1,0,0
"17",1,0,0,1,0,0
"18",2,0,1,1,0,0
"19",1,1,0,0,0,0
"20",2,0,0,0,1,1
"21",2,0,0,0,1,1
"22",2,0,0,0,1,1
"23",4,1,1,0,1,1
"24",3,1,0,0,1,1
"25",5,1,1,1,1,1
"26",2,0,1,0,1,0
"27",3,0,1,0,1,1
"28",2,1,0,0,0,1
"29",3,1,0,1,0,1
"30",1,0,0,1,0,0
"31",1,1,0,0,0,0
"32",4,1,1,1,1,0
"33",1,0,0,0,1,0
"34",1,0,0,0,0,1
"35",5,1,1,1,1,1
"36",3,0,1,0,1,1
"37",4,1,1,1,1,0
"38",3,1,1,1,0,0
"39",1,0,0,0,0,1
"40",1,0,1,0,0,0
"41",4,1,1,1,1,0
"42",3,0,1,0,1,1
"43",3,1,1,1,0,0
"44",3,1,0,1,0,1
"45",4,1,0,1,1,1
"46",1,0,0,1,0,0
"47",2,0,0,1,0,1
"48",2,0,0,1,1,0
"49",5,1,1,1,1,1
"50",3,0,1,1,0,1
