"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",11,1,1,1,1,1,0,0,0,0,1,1,0,1,1,1,0,0,1,0,0
"2",7,1,0,0,1,0,1,1,0,0,0,1,0,0,0,1,0,1,0,0,0
"3",9,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,1,1,1,0
"4",9,0,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1,1,0,1,0
"5",12,1,0,1,1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,1,1
"6",10,1,1,1,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,1,0
"7",12,1,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1
"8",14,0,1,0,1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1
"9",10,1,0,1,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,1,0
"10",11,1,1,0,1,0,0,1,1,1,0,1,1,0,0,1,1,0,0,0,1
"11",8,1,0,0,0,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,0
"12",13,0,1,1,1,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1
"13",9,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,1
"14",10,1,0,1,1,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0
"15",10,1,0,0,0,1,0,0,1,0,1,1,1,0,0,1,1,1,0,0,1
"16",7,1,1,0,0,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1
"17",7,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1
"18",9,1,0,0,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,0
"19",8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,1,1
"20",9,0,0,0,1,0,1,1,1,0,0,0,0,1,1,1,1,1,0,0,0
"21",9,0,0,0,0,1,0,0,1,0,1,1,0,1,1,0,0,1,1,1,0
"22",11,0,0,1,1,1,0,1,0,1,0,1,0,1,1,1,1,0,0,0,1
"23",8,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0,0
"24",12,0,1,1,0,1,0,1,1,1,1,1,1,0,1,1,0,0,0,1,0
"25",9,0,1,0,0,0,1,1,0,1,0,1,0,1,0,0,0,1,0,1,1
"26",8,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,0
"27",12,1,1,1,0,1,1,0,1,0,1,0,1,0,1,1,0,1,1,0,0
"28",5,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
"29",6,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1
"30",10,0,1,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0
"31",13,1,1,1,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1
"32",14,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1,1,0,1,1,0
"33",10,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,1,0
"34",12,1,1,1,1,1,0,0,1,0,0,1,1,0,1,0,0,1,0,1,1
"35",6,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,1,0,0,0
"36",13,0,1,1,1,1,0,0,0,1,1,0,1,1,1,1,0,0,1,1,1
"37",8,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0,1,0,1,0,0
"38",8,0,0,0,0,1,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1
"39",11,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1
"40",8,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,1,1,0,0,0
"41",11,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,0
"42",10,1,0,0,0,1,0,1,1,0,1,1,0,0,0,1,1,0,0,1,1
"43",9,1,1,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
"44",12,0,0,0,1,1,1,1,1,1,1,0,1,1,0,0,1,0,1,0,1
"45",9,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,0,0,0,0,1
"46",10,1,0,0,0,1,1,1,0,1,0,0,1,0,0,1,1,0,1,1,0
"47",11,1,0,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,0,0,1
"48",10,1,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,1,1,1,0
"49",11,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,1,1,1,1,1
"50",9,0,1,0,0,0,0,0,0,0,1,1,1,0,0,1,1,1,0,1,1
