"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",6,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0
"2",6,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0
"3",5,1,0,0,0,0,1,1,0,1,1,0,0,0,0,0
"4",5,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0
"5",4,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0
"6",6,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"7",7,1,1,1,1,1,1,0,1,0,0,0,0,0,0,0
"8",7,1,1,1,0,1,1,0,0,1,1,0,0,0,0,0
"9",5,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0
"10",7,0,1,1,1,1,1,0,0,1,1,0,0,0,0,0
"11",5,0,1,1,0,1,0,1,0,1,0,0,0,0,0,0
"12",5,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"13",4,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0
"14",5,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"15",6,0,0,1,1,0,1,0,1,1,1,0,0,0,0,0
"16",4,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"17",4,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0
"18",3,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
"19",4,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0
"20",3,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0
"21",3,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
"22",6,1,1,1,0,1,0,1,0,0,1,0,0,0,0,0
"23",6,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"24",9,1,1,1,0,1,1,1,1,1,1,0,0,0,0,0
"25",4,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0
"26",2,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
"27",2,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"28",6,1,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"29",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",6,0,0,1,0,1,1,0,1,1,1,0,0,0,0,0
"31",5,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0
"32",4,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0
"33",3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"34",5,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0
"35",5,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
"36",5,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
"37",6,1,1,0,0,1,0,0,1,1,1,0,0,0,0,0
"38",4,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0
"39",4,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0
"40",6,1,0,1,1,0,1,1,0,1,0,0,0,0,0,0
"41",5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"42",4,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"43",7,1,1,1,0,0,1,1,1,1,0,0,0,0,0,0
"44",4,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0
"45",3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"46",5,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0
"47",5,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0
"48",4,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0
"49",7,1,1,1,1,0,1,1,0,0,1,0,0,0,0,0
"50",8,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0
"51",6,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"52",3,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0
"53",5,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0
"54",4,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"55",5,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0
"56",5,0,1,1,0,1,1,0,1,0,0,0,0,0,0,0
"57",2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"58",6,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0
"59",5,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0
"60",4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"61",4,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0
"62",8,1,1,1,1,1,1,0,1,0,1,0,0,0,0,0
