"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",2,1,1,0,0,0,0,0,0,0,0
"2",3,0,1,1,0,1,0,0,0,0,0
"3",2,1,1,0,0,0,0,0,0,0,0
"4",3,0,1,1,1,0,0,0,0,0,0
"5",2,1,0,0,0,1,0,0,0,0,0
"6",3,1,0,1,1,0,0,0,0,0,0
"7",3,1,0,1,0,1,0,0,0,0,0
"8",3,0,1,1,1,0,0,0,0,0,0
"9",2,1,0,1,0,0,0,0,0,0,0
"10",2,0,0,0,1,1,0,0,0,0,0
"11",4,1,0,1,1,1,0,0,0,0,0
"12",2,1,0,0,0,1,0,0,0,0,0
"13",2,0,1,0,1,0,0,0,0,0,0
"14",2,0,1,0,1,0,0,0,0,0,0
"15",1,0,1,0,0,0,0,0,0,0,0
"16",4,0,1,1,1,1,0,0,0,0,0
"17",1,0,0,0,0,1,0,0,0,0,0
"18",4,1,0,1,1,1,0,0,0,0,0
"19",1,0,0,0,1,0,0,0,0,0,0
"20",2,1,0,1,0,0,0,0,0,0,0
"21",3,1,1,1,0,0,0,0,0,0,0
"22",2,0,0,1,1,0,0,0,0,0,0
"23",3,1,0,1,1,0,0,0,0,0,0
"24",3,0,1,1,0,1,0,0,0,0,0
"25",4,1,1,1,0,1,0,0,0,0,0
"26",3,1,0,0,1,1,0,0,0,0,0
"27",3,0,0,1,1,1,0,0,0,0,0
"28",2,0,0,0,1,1,0,0,0,0,0
"29",3,1,0,1,0,1,0,0,0,0,0
"30",1,1,0,0,0,0,0,0,0,0,0
"31",3,1,0,1,0,1,0,0,0,0,0
"32",2,1,0,0,1,0,0,0,0,0,0
"33",2,0,1,0,1,0,0,0,0,0,0
"34",2,0,1,0,1,0,0,0,0,0,0
"35",3,1,1,0,1,0,0,0,0,0,0
"36",4,1,1,1,0,1,0,0,0,0,0
"37",2,0,0,0,1,1,0,0,0,0,0
"38",4,1,0,1,1,1,0,0,0,0,0
"39",1,0,0,0,1,0,0,0,0,0,0
"40",3,0,1,1,1,0,0,0,0,0,0
"41",3,0,1,1,1,0,0,0,0,0,0
"42",1,0,1,0,0,0,0,0,0,0,0
"43",3,1,1,0,1,0,0,0,0,0,0
"44",3,1,0,1,0,1,0,0,0,0,0
"45",3,0,1,1,0,1,0,0,0,0,0
"46",4,0,1,1,1,1,0,0,0,0,0
"47",1,0,1,0,0,0,0,0,0,0,0
"48",4,1,1,0,1,1,0,0,0,0,0
"49",1,0,0,0,0,1,0,0,0,0,0
"50",3,1,1,1,0,0,0,0,0,0,0
