"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15"
"1",4,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0
"2",6,1,1,0,1,1,1,0,0,0,1,0,0,0,0,0
"3",4,0,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"4",6,0,1,1,1,0,1,1,0,0,1,0,0,0,0,0
"5",3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0
"6",5,0,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"7",4,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"8",5,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0
"9",5,1,0,0,1,0,1,0,1,0,1,0,0,0,0,0
"10",5,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0
"11",6,0,0,1,0,1,1,1,0,1,1,0,0,0,0,0
"12",5,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
"13",5,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0
"14",3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0
"15",5,1,1,0,1,0,0,1,0,0,1,0,0,0,0,0
"16",4,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0
"17",6,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0
"18",5,0,1,0,1,0,1,1,1,0,0,0,0,0,0,0
"19",6,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0
"20",5,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0
"21",7,0,1,1,1,0,1,1,1,1,0,0,0,0,0,0
"22",6,0,1,1,0,1,0,1,1,1,0,0,0,0,0,0
"23",5,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0
"24",3,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0
"25",4,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0
"26",7,1,1,1,1,0,0,1,1,0,1,0,0,0,0,0
"27",6,0,1,1,1,0,0,1,1,1,0,0,0,0,0,0
"28",3,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
"29",3,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"30",6,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0
"31",6,0,1,0,1,1,1,0,1,1,0,0,0,0,0,0
"32",6,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0
"33",4,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0
"34",4,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0
"35",6,1,0,1,0,1,1,0,0,1,1,0,0,0,0,0
"36",4,0,0,1,0,1,0,0,1,1,0,0,0,0,0,0
"37",2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",5,0,1,1,0,0,0,1,1,0,1,0,0,0,0,0
"40",4,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0
"41",5,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
"42",6,1,1,1,0,1,1,0,0,1,0,0,0,0,0,0
"43",7,1,1,0,0,1,1,0,1,1,1,0,0,0,0,0
"44",7,0,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"45",8,1,1,1,1,1,0,1,1,1,0,0,0,0,0,0
"46",5,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0
"47",5,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0
"48",2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"49",5,0,1,1,0,0,0,0,1,1,1,0,0,0,0,0
"50",3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"51",5,1,0,1,0,0,0,1,0,1,1,0,0,0,0,0
"52",4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
"53",6,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0
"54",2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"55",6,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0
"56",4,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0
"57",5,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0
"58",2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
"59",6,1,1,0,0,1,0,1,1,0,1,0,0,0,0,0
"60",5,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0
"61",7,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
"62",2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"63",4,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0
"64",4,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"65",5,0,0,0,1,1,0,1,1,0,1,0,0,0,0,0
"66",4,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0
"67",7,1,1,1,0,0,0,1,1,1,1,0,0,0,0,0
"68",3,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0
"69",7,0,1,1,1,0,1,0,1,1,1,0,0,0,0,0
"70",6,0,0,1,0,1,1,1,1,1,0,0,0,0,0,0
"71",6,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0
"72",6,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0
"73",5,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0
"74",5,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0
"75",3,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0
"76",4,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0
"77",5,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"78",6,1,1,1,1,1,0,1,0,0,0,0,0,0,0,0
"79",7,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
"80",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"81",6,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
"82",5,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0
"83",8,1,0,1,1,1,1,1,1,0,1,0,0,0,0,0
"84",3,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0
"85",5,1,0,0,1,1,0,1,1,0,0,0,0,0,0,0
"86",5,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0
"87",3,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0
"88",8,1,1,1,0,1,1,1,1,1,0,0,0,0,0,0
"89",6,1,0,1,1,0,0,1,1,0,1,0,0,0,0,0
"90",5,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0
"91",2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"92",5,0,1,0,0,1,1,1,1,0,0,0,0,0,0,0
"93",7,1,1,0,0,1,1,1,1,0,1,0,0,0,0,0
"94",4,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0
"95",3,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
"96",2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"97",4,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0
"98",6,1,1,1,1,1,0,0,1,0,0,0,0,0,0,0
"99",3,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0
"100",5,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0
