"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5"
"1",3,1,0,1,0,1
"2",1,0,0,0,0,1
"3",3,0,0,1,1,1
"4",2,1,0,0,1,0
"5",2,0,1,0,0,1
"6",2,1,0,0,0,1
"7",3,0,1,1,0,1
"8",1,0,1,0,0,0
"9",1,0,0,1,0,0
"10",3,1,0,0,1,1
"11",2,1,0,1,0,0
"12",2,0,0,0,1,1
"13",1,1,0,0,0,0
"14",2,0,0,0,1,1
"15",3,0,0,1,1,1
"16",3,0,0,1,1,1
"17",0,0,0,0,0,0
"18",2,0,0,0,1,1
"19",3,1,0,1,0,1
"20",2,1,0,0,1,0
"21",2,0,0,1,1,0
"22",2,0,0,0,1,1
"23",1,1,0,0,0,0
"24",3,0,1,0,1,1
"25",2,0,0,0,1,1
"26",1,0,1,0,0,0
"27",1,0,0,0,1,0
"28",3,1,1,0,0,1
"29",4,0,1,1,1,1
"30",3,0,1,0,1,1
"31",3,1,1,0,1,0
"32",1,0,0,0,1,0
"33",1,1,0,0,0,0
"34",4,1,1,1,0,1
"35",4,1,0,1,1,1
"36",5,1,1,1,1,1
"37",3,0,1,0,1,1
"38",3,1,0,1,0,1
"39",2,0,1,0,1,0
"40",1,0,0,1,0,0
"41",2,0,0,1,1,0
"42",3,1,1,0,1,0
"43",3,1,0,1,1,0
"44",1,0,0,0,1,0
"45",3,0,1,0,1,1
"46",1,0,0,0,1,0
"47",3,1,0,0,1,1
"48",3,0,1,1,0,1
"49",1,1,0,0,0,0
"50",4,1,1,1,1,0
"51",4,1,1,1,0,1
"52",4,0,1,1,1,1
"53",4,1,1,1,0,1
"54",2,0,1,0,0,1
"55",3,1,0,1,0,1
"56",2,0,1,1,0,0
"57",3,1,0,1,1,0
"58",1,0,1,0,0,0
"59",2,0,0,1,1,0
"60",2,1,0,0,0,1
"61",2,1,0,1,0,0
"62",2,0,1,1,0,0
"63",4,1,0,1,1,1
"64",2,1,0,1,0,0
"65",4,1,1,0,1,1
"66",3,1,1,0,0,1
"67",1,0,0,0,0,1
"68",5,1,1,1,1,1
"69",2,0,0,1,1,0
"70",1,0,0,0,1,0
"71",5,1,1,1,1,1
"72",1,0,0,0,0,1
"73",1,0,1,0,0,0
"74",3,1,0,0,1,1
"75",4,0,1,1,1,1
"76",3,1,1,1,0,0
"77",3,0,1,0,1,1
"78",3,0,1,1,1,0
"79",4,1,1,1,0,1
"80",4,1,1,0,1,1
"81",3,0,1,0,1,1
"82",1,0,0,1,0,0
"83",3,1,0,1,0,1
"84",2,0,0,0,1,1
"85",3,0,1,0,1,1
"86",1,0,0,0,1,0
"87",2,1,0,1,0,0
"88",3,1,1,0,0,1
"89",2,0,1,0,1,0
"90",2,1,0,1,0,0
"91",2,1,0,0,0,1
"92",3,1,1,1,0,0
"93",1,0,0,0,0,1
"94",2,0,1,1,0,0
"95",2,0,1,0,1,0
"96",1,1,0,0,0,0
"97",2,0,1,1,0,0
"98",4,1,1,0,1,1
"99",2,0,1,0,0,1
"100",3,1,0,1,1,0
