"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10","Test Case 11","Test Case 12","Test Case 13","Test Case 14","Test Case 15","Test Case 16","Test Case 17","Test Case 18","Test Case 19","Test Case 20"
"1",5,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1
"2",9,1,0,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,1,1
"3",7,0,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,0
"4",12,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,0,0,1,0
"5",7,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,0,1,0
"6",9,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,1,1,1,0
"7",8,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0
"8",12,0,1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,1,1,0,0
"9",7,0,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,1,0
"10",14,0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1
"11",9,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,0
"12",9,1,1,0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,1
"13",9,0,1,1,0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,0
"14",10,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,1,1,1
"15",10,1,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0
"16",11,0,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,1,0,1
"17",8,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0,0,0,0,1,1
"18",13,1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,0,0,1,1,1
"19",10,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,1,1,0,0
"20",9,0,1,1,0,0,1,1,0,0,0,0,1,0,1,1,0,0,0,1,1
"21",13,1,1,0,1,1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,0
"22",13,0,0,1,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0
"23",9,0,0,1,0,1,1,0,1,0,0,0,0,1,0,1,0,1,1,1,0
