"","Fitness","Test Case 1","Test Case 2","Test Case 3","Test Case 4","Test Case 5","Test Case 6","Test Case 7","Test Case 8","Test Case 9","Test Case 10"
"1",3,0,1,1,0,0,0,1,0,0,0
"2",4,0,1,0,1,0,0,1,0,0,1
"3",5,0,0,1,0,1,1,0,1,1,0
"4",6,1,0,0,1,1,1,0,1,0,1
"5",4,0,0,1,1,1,0,0,1,0,0
"6",6,1,1,1,0,1,0,1,1,0,0
"7",6,1,0,0,1,1,1,0,1,0,1
"8",8,1,1,1,1,1,1,1,1,0,0
"9",3,0,0,1,1,1,0,0,0,0,0
"10",5,1,0,1,0,1,0,1,1,0,0
"11",6,1,1,1,0,0,0,1,1,1,0
"12",3,0,0,1,0,0,0,0,1,0,1
"13",5,0,1,1,1,0,1,0,0,0,1
"14",5,0,0,0,1,0,1,1,1,1,0
"15",6,1,1,1,0,1,0,1,0,1,0
"16",4,1,0,1,0,1,0,0,1,0,0
"17",5,0,1,1,1,0,0,0,1,0,1
"18",4,0,0,1,0,1,0,0,1,0,1
"19",7,1,1,1,1,1,0,0,0,1,1
"20",4,1,1,0,0,1,0,1,0,0,0
"21",5,0,0,1,1,0,1,1,0,0,1
"22",5,1,1,0,0,0,0,0,1,1,1
"23",6,0,1,1,0,1,0,1,1,0,1
"24",5,1,0,0,0,0,0,1,1,1,1
"25",4,1,0,0,1,0,1,0,0,1,0
"26",5,1,0,1,0,0,1,1,0,1,0
"27",6,1,0,0,0,1,1,1,1,0,1
"28",3,0,1,0,0,0,0,0,1,0,1
"29",5,0,1,0,1,0,0,1,1,1,0
"30",7,1,1,0,0,1,1,1,0,1,1
"31",4,0,0,0,1,1,1,0,1,0,0
"32",7,1,1,1,0,0,0,1,1,1,1
"33",5,1,1,1,0,1,0,0,0,0,1
"34",6,1,0,1,1,1,0,1,0,0,1
"35",7,1,1,1,1,0,1,0,1,0,1
"36",4,0,0,0,1,0,0,1,1,0,1
"37",4,1,0,0,0,0,0,0,1,1,1
"38",6,0,0,1,1,0,0,1,1,1,1
"39",4,1,1,0,0,0,0,0,0,1,1
"40",5,0,1,0,0,1,1,1,0,1,0
"41",3,1,0,1,0,0,0,0,1,0,0
"42",5,0,0,0,1,1,0,1,1,1,0
"43",3,0,1,1,0,0,1,0,0,0,0
"44",4,0,0,0,0,1,1,1,0,0,1
"45",5,1,1,0,1,0,0,1,1,0,0
"46",8,0,1,1,1,1,1,1,1,0,1
"47",3,1,0,0,0,1,1,0,0,0,0
"48",5,0,1,1,1,0,0,1,1,0,0
"49",4,0,0,1,0,1,0,1,0,1,0
"50",6,1,0,0,0,1,0,1,1,1,1
